feature,importance
forecast_load,1755324.7992830276
lag_168h_forecast_load,1189852.4793453217
forecast_residual_load,670622.4398880005
forecast_wind,93902.0849275589
hour,67281.71689605713
lag_168h_day_ahead_price,56449.91367340088
hour_sin,35303.36810684204
roll_24h_std_day_ahead_price,31961.31488084793
lag_24h_forecast_load,31174.0643119812
hour_x_dow,30216.677806854248
lag_24h_day_ahead_price,27206.591693401337
roll_168h_std_day_ahead_price,24995.17080307007
day_of_week,22109.408737182617
roll_168h_mean_day_ahead_price,18406.014322280884
lag_48h_day_ahead_price,17524.484058380127
lag_48h_forecast_load,17433.58087158203
roll_24h_mean_day_ahead_price,16207.969553470612
wind_x_solar,14911.113112449646
forecast_solar,12725.392824172974
hour_cos,10216.750854492188
is_weekend,6885.68489074707
dow_sin,4228.562908172607
dow_cos,2715.2377548217773
month,376.90450286865234
